,Periodo,1.Dólar observado,dia,mes,year
2191,1996-01-01 00:00:00,,01,01,1996
2192,1996-01-02 00:00:00,406.91,02,01,1996
2193,1996-01-03 00:00:00,405.53,03,01,1996
2194,1996-01-04 00:00:00,404.76,04,01,1996
2195,1996-01-05 00:00:00,407.33,05,01,1996
2196,1996-01-06 00:00:00,,06,01,1996
2197,1996-01-07 00:00:00,,07,01,1996
2198,1996-01-08 00:00:00,406.16,08,01,1996
2199,1996-01-09 00:00:00,406.43,09,01,1996
2200,1996-01-10 00:00:00,407.54,10,01,1996
2201,1996-01-11 00:00:00,407.71,11,01,1996
2202,1996-01-12 00:00:00,406.63,12,01,1996
2203,1996-01-13 00:00:00,,13,01,1996
2204,1996-01-14 00:00:00,,14,01,1996
2205,1996-01-15 00:00:00,405.77,15,01,1996
2206,1996-01-16 00:00:00,405.95,16,01,1996
2207,1996-01-17 00:00:00,407.12,17,01,1996
2208,1996-01-18 00:00:00,408.06,18,01,1996
2209,1996-01-19 00:00:00,408.7,19,01,1996
2210,1996-01-20 00:00:00,,20,01,1996
2211,1996-01-21 00:00:00,,21,01,1996
2212,1996-01-22 00:00:00,409.59,22,01,1996
2213,1996-01-23 00:00:00,411.94,23,01,1996
2214,1996-01-24 00:00:00,410.68,24,01,1996
2215,1996-01-25 00:00:00,410.92,25,01,1996
2216,1996-01-26 00:00:00,410.4,26,01,1996
2217,1996-01-27 00:00:00,,27,01,1996
2218,1996-01-28 00:00:00,,28,01,1996
2219,1996-01-29 00:00:00,412.95,29,01,1996
2220,1996-01-30 00:00:00,413.86,30,01,1996
2221,1996-01-31 00:00:00,412.76,31,01,1996
2222,1996-02-01 00:00:00,412.29,01,02,1996
2223,1996-02-02 00:00:00,410.93,02,02,1996
2224,1996-02-03 00:00:00,,03,02,1996
2225,1996-02-04 00:00:00,,04,02,1996
2226,1996-02-05 00:00:00,409.77,05,02,1996
2227,1996-02-06 00:00:00,409.49,06,02,1996
2228,1996-02-07 00:00:00,409.98,07,02,1996
2229,1996-02-08 00:00:00,411.38,08,02,1996
2230,1996-02-09 00:00:00,410.08,09,02,1996
2231,1996-02-10 00:00:00,,10,02,1996
2232,1996-02-11 00:00:00,,11,02,1996
2233,1996-02-12 00:00:00,409.48,12,02,1996
2234,1996-02-13 00:00:00,409.34,13,02,1996
2235,1996-02-14 00:00:00,409.8,14,02,1996
2236,1996-02-15 00:00:00,410.14,15,02,1996
2237,1996-02-16 00:00:00,410.19,16,02,1996
2238,1996-02-17 00:00:00,,17,02,1996
2239,1996-02-18 00:00:00,,18,02,1996
2240,1996-02-19 00:00:00,411.44,19,02,1996
2241,1996-02-20 00:00:00,410.6,20,02,1996
2242,1996-02-21 00:00:00,411.76,21,02,1996
2243,1996-02-22 00:00:00,412.34,22,02,1996
2244,1996-02-23 00:00:00,412.11,23,02,1996
2245,1996-02-24 00:00:00,,24,02,1996
2246,1996-02-25 00:00:00,,25,02,1996
2247,1996-02-26 00:00:00,412.34,26,02,1996
2248,1996-02-27 00:00:00,412.18,27,02,1996
2249,1996-02-28 00:00:00,412.11,28,02,1996
2250,1996-02-29 00:00:00,412.53,29,02,1996
2251,1996-03-01 00:00:00,412.58,01,03,1996
2252,1996-03-02 00:00:00,,02,03,1996
2253,1996-03-03 00:00:00,,03,03,1996
2254,1996-03-04 00:00:00,412.28,04,03,1996
2255,1996-03-05 00:00:00,411.13,05,03,1996
2256,1996-03-06 00:00:00,411.1,06,03,1996
2257,1996-03-07 00:00:00,411.07,07,03,1996
2258,1996-03-08 00:00:00,410.5,08,03,1996
2259,1996-03-09 00:00:00,,09,03,1996
2260,1996-03-10 00:00:00,,10,03,1996
2261,1996-03-11 00:00:00,410.97,11,03,1996
2262,1996-03-12 00:00:00,411.54,12,03,1996
2263,1996-03-13 00:00:00,411.29,13,03,1996
2264,1996-03-14 00:00:00,410.71,14,03,1996
2265,1996-03-15 00:00:00,410.92,15,03,1996
2266,1996-03-16 00:00:00,,16,03,1996
2267,1996-03-17 00:00:00,,17,03,1996
2268,1996-03-18 00:00:00,411.53,18,03,1996
2269,1996-03-19 00:00:00,411.94,19,03,1996
2270,1996-03-20 00:00:00,412.36,20,03,1996
2271,1996-03-21 00:00:00,411.97,21,03,1996
2272,1996-03-22 00:00:00,411.55,22,03,1996
2273,1996-03-23 00:00:00,,23,03,1996
2274,1996-03-24 00:00:00,,24,03,1996
2275,1996-03-25 00:00:00,411.75,25,03,1996
2276,1996-03-26 00:00:00,411.68,26,03,1996
2277,1996-03-27 00:00:00,411.9,27,03,1996
2278,1996-03-28 00:00:00,412.07,28,03,1996
2279,1996-03-29 00:00:00,411.64,29,03,1996
2280,1996-03-30 00:00:00,,30,03,1996
2281,1996-03-31 00:00:00,,31,03,1996
2282,1996-04-01 00:00:00,411.64,01,04,1996
2283,1996-04-02 00:00:00,411.43,02,04,1996
2284,1996-04-03 00:00:00,410.78,03,04,1996
2285,1996-04-04 00:00:00,409.94,04,04,1996
2286,1996-04-05 00:00:00,,05,04,1996
2287,1996-04-06 00:00:00,,06,04,1996
2288,1996-04-07 00:00:00,,07,04,1996
2289,1996-04-08 00:00:00,409.74,08,04,1996
2290,1996-04-09 00:00:00,409.06,09,04,1996
2291,1996-04-10 00:00:00,409.59,10,04,1996
2292,1996-04-11 00:00:00,409.74,11,04,1996
2293,1996-04-12 00:00:00,409.18,12,04,1996
2294,1996-04-13 00:00:00,,13,04,1996
2295,1996-04-14 00:00:00,,14,04,1996
2296,1996-04-15 00:00:00,407.71,15,04,1996
2297,1996-04-16 00:00:00,407.17,16,04,1996
2298,1996-04-17 00:00:00,407.27,17,04,1996
2299,1996-04-18 00:00:00,407.05,18,04,1996
2300,1996-04-19 00:00:00,406.62,19,04,1996
2301,1996-04-20 00:00:00,,20,04,1996
2302,1996-04-21 00:00:00,,21,04,1996
2303,1996-04-22 00:00:00,406.97,22,04,1996
2304,1996-04-23 00:00:00,408.39,23,04,1996
2305,1996-04-24 00:00:00,407.31,24,04,1996
2306,1996-04-25 00:00:00,407.28,25,04,1996
2307,1996-04-26 00:00:00,406.86,26,04,1996
2308,1996-04-27 00:00:00,,27,04,1996
2309,1996-04-28 00:00:00,,28,04,1996
2310,1996-04-29 00:00:00,406.38,29,04,1996
2311,1996-04-30 00:00:00,406.81,30,04,1996
2312,1996-05-01 00:00:00,,01,05,1996
2313,1996-05-02 00:00:00,407.28,02,05,1996
2314,1996-05-03 00:00:00,407.11,03,05,1996
2315,1996-05-04 00:00:00,,04,05,1996
2316,1996-05-05 00:00:00,,05,05,1996
2317,1996-05-06 00:00:00,406.57,06,05,1996
2318,1996-05-07 00:00:00,404.73,07,05,1996
2319,1996-05-08 00:00:00,404.01,08,05,1996
2320,1996-05-09 00:00:00,403.89,09,05,1996
2321,1996-05-10 00:00:00,402.25,10,05,1996
