,Periodo,1.Dólar observado,dia,mes,year
366,2021-01-01 00:00:00,,01,01,2021
367,2021-01-02 00:00:00,,02,01,2021
368,2021-01-03 00:00:00,,03,01,2021
369,2021-01-04 00:00:00,710.95,04,01,2021
370,2021-01-05 00:00:00,702.93,05,01,2021
371,2021-01-06 00:00:00,702.29,06,01,2021
372,2021-01-07 00:00:00,696.18,07,01,2021
373,2021-01-08 00:00:00,709.99,08,01,2021
374,2021-01-09 00:00:00,,09,01,2021
375,2021-01-10 00:00:00,,10,01,2021
376,2021-01-11 00:00:00,713.28,11,01,2021
377,2021-01-12 00:00:00,718.89,12,01,2021
378,2021-01-13 00:00:00,725.24,13,01,2021
379,2021-01-14 00:00:00,739.72,14,01,2021
380,2021-01-15 00:00:00,735.35,15,01,2021
381,2021-01-16 00:00:00,,16,01,2021
382,2021-01-17 00:00:00,,17,01,2021
383,2021-01-18 00:00:00,735.06,18,01,2021
384,2021-01-19 00:00:00,736.11,19,01,2021
385,2021-01-20 00:00:00,733.73,20,01,2021
386,2021-01-21 00:00:00,730.38,21,01,2021
387,2021-01-22 00:00:00,715.56,22,01,2021
388,2021-01-23 00:00:00,,23,01,2021
389,2021-01-24 00:00:00,,24,01,2021
390,2021-01-25 00:00:00,724.26,25,01,2021
391,2021-01-26 00:00:00,731.92,26,01,2021
392,2021-01-27 00:00:00,731.0,27,01,2021
393,2021-01-28 00:00:00,736.88,28,01,2021
394,2021-01-29 00:00:00,741.4,29,01,2021
395,2021-01-30 00:00:00,,30,01,2021
396,2021-01-31 00:00:00,,31,01,2021
397,2021-02-01 00:00:00,734.62,01,02,2021
398,2021-02-02 00:00:00,731.66,02,02,2021
399,2021-02-03 00:00:00,734.86,03,02,2021
400,2021-02-04 00:00:00,730.53,04,02,2021
401,2021-02-05 00:00:00,737.23,05,02,2021
402,2021-02-06 00:00:00,,06,02,2021
403,2021-02-07 00:00:00,,07,02,2021
404,2021-02-08 00:00:00,736.65,08,02,2021
405,2021-02-09 00:00:00,735.07,09,02,2021
406,2021-02-10 00:00:00,733.13,10,02,2021
407,2021-02-11 00:00:00,728.9,11,02,2021
408,2021-02-12 00:00:00,722.52,12,02,2021
409,2021-02-13 00:00:00,,13,02,2021
410,2021-02-14 00:00:00,,14,02,2021
411,2021-02-15 00:00:00,724.39,15,02,2021
412,2021-02-16 00:00:00,718.45,16,02,2021
413,2021-02-17 00:00:00,717.38,17,02,2021
414,2021-02-18 00:00:00,719.78,18,02,2021
415,2021-02-19 00:00:00,712.14,19,02,2021
416,2021-02-20 00:00:00,,20,02,2021
417,2021-02-21 00:00:00,,21,02,2021
418,2021-02-22 00:00:00,707.12,22,02,2021
419,2021-02-23 00:00:00,709.65,23,02,2021
420,2021-02-24 00:00:00,706.76,24,02,2021
421,2021-02-25 00:00:00,703.65,25,02,2021
422,2021-02-26 00:00:00,708.04,26,02,2021
423,2021-02-27 00:00:00,,27,02,2021
424,2021-02-28 00:00:00,,28,02,2021
425,2021-03-01 00:00:00,719.91,01,03,2021
426,2021-03-02 00:00:00,721.2,02,03,2021
427,2021-03-03 00:00:00,726.74,03,03,2021
428,2021-03-04 00:00:00,731.3,04,03,2021
429,2021-03-05 00:00:00,729.15,05,03,2021
430,2021-03-06 00:00:00,,06,03,2021
431,2021-03-07 00:00:00,,07,03,2021
432,2021-03-08 00:00:00,733.11,08,03,2021
433,2021-03-09 00:00:00,738.46,09,03,2021
434,2021-03-10 00:00:00,733.42,10,03,2021
435,2021-03-11 00:00:00,728.89,11,03,2021
436,2021-03-12 00:00:00,718.4,12,03,2021
437,2021-03-13 00:00:00,,13,03,2021
438,2021-03-14 00:00:00,,14,03,2021
439,2021-03-15 00:00:00,718.37,15,03,2021
440,2021-03-16 00:00:00,721.49,16,03,2021
441,2021-03-17 00:00:00,723.47,17,03,2021
442,2021-03-18 00:00:00,730.93,18,03,2021
443,2021-03-19 00:00:00,724.59,19,03,2021
444,2021-03-20 00:00:00,,20,03,2021
445,2021-03-21 00:00:00,,21,03,2021
446,2021-03-22 00:00:00,717.96,22,03,2021
447,2021-03-23 00:00:00,716.46,23,03,2021
448,2021-03-24 00:00:00,720.62,24,03,2021
449,2021-03-25 00:00:00,723.35,25,03,2021
450,2021-03-26 00:00:00,730.82,26,03,2021
451,2021-03-27 00:00:00,,27,03,2021
452,2021-03-28 00:00:00,,28,03,2021
453,2021-03-29 00:00:00,729.5,29,03,2021
454,2021-03-30 00:00:00,736.17,30,03,2021
455,2021-03-31 00:00:00,732.11,31,03,2021
456,2021-04-01 00:00:00,721.82,01,04,2021
457,2021-04-02 00:00:00,,02,04,2021
458,2021-04-03 00:00:00,,03,04,2021
459,2021-04-04 00:00:00,,04,04,2021
460,2021-04-05 00:00:00,717.12,05,04,2021
461,2021-04-06 00:00:00,717.9,06,04,2021
462,2021-04-07 00:00:00,718.17,07,04,2021
463,2021-04-08 00:00:00,714.21,08,04,2021
464,2021-04-09 00:00:00,708.09,09,04,2021
465,2021-04-10 00:00:00,,10,04,2021
466,2021-04-11 00:00:00,,11,04,2021
467,2021-04-12 00:00:00,711.23,12,04,2021
468,2021-04-13 00:00:00,709.51,13,04,2021
469,2021-04-14 00:00:00,708.71,14,04,2021
470,2021-04-15 00:00:00,707.25,15,04,2021
471,2021-04-16 00:00:00,701.98,16,04,2021
472,2021-04-17 00:00:00,,17,04,2021
473,2021-04-18 00:00:00,,18,04,2021
474,2021-04-19 00:00:00,701.55,19,04,2021
475,2021-04-20 00:00:00,700.96,20,04,2021
476,2021-04-21 00:00:00,697.19,21,04,2021
477,2021-04-22 00:00:00,696.8,22,04,2021
478,2021-04-23 00:00:00,705.41,23,04,2021
479,2021-04-24 00:00:00,,24,04,2021
480,2021-04-25 00:00:00,,25,04,2021
481,2021-04-26 00:00:00,712.54,26,04,2021
482,2021-04-27 00:00:00,707.05,27,04,2021
483,2021-04-28 00:00:00,702.02,28,04,2021
484,2021-04-29 00:00:00,700.15,29,04,2021
485,2021-04-30 00:00:00,705.09,30,04,2021
486,2021-05-01 00:00:00,,01,05,2021
487,2021-05-02 00:00:00,,02,05,2021
488,2021-05-03 00:00:00,711.06,03,05,2021
489,2021-05-04 00:00:00,706.29,04,05,2021
490,2021-05-05 00:00:00,705.25,05,05,2021
491,2021-05-06 00:00:00,703.09,06,05,2021
492,2021-05-07 00:00:00,701.27,07,05,2021
493,2021-05-08 00:00:00,,08,05,2021
494,2021-05-09 00:00:00,,09,05,2021
495,2021-05-10 00:00:00,694.47,10,05,2021
496,2021-05-11 00:00:00,693.74,11,05,2021
497,2021-05-12 00:00:00,700.04,12,05,2021
498,2021-05-13 00:00:00,707.19,13,05,2021
499,2021-05-14 00:00:00,708.64,14,05,2021
500,2021-05-15 00:00:00,,15,05,2021
501,2021-05-16 00:00:00,,16,05,2021
502,2021-05-17 00:00:00,703.17,17,05,2021
503,2021-05-18 00:00:00,715.62,18,05,2021
504,2021-05-19 00:00:00,713.63,19,05,2021
505,2021-05-20 00:00:00,715.31,20,05,2021
506,2021-05-21 00:00:00,,21,05,2021
507,2021-05-22 00:00:00,,22,05,2021
508,2021-05-23 00:00:00,,23,05,2021
509,2021-05-24 00:00:00,716.41,24,05,2021
510,2021-05-25 00:00:00,727.09,25,05,2021
511,2021-05-26 00:00:00,734.75,26,05,2021
512,2021-05-27 00:00:00,732.82,27,05,2021
513,2021-05-28 00:00:00,730.43,28,05,2021
514,2021-05-29 00:00:00,,29,05,2021
515,2021-05-30 00:00:00,,30,05,2021
