,Periodo,1.Dólar observado,dia,mes,year
1826,2015-01-01 00:00:00,,01,01,2015
1827,2015-01-02 00:00:00,606.75,02,01,2015
1828,2015-01-03 00:00:00,,03,01,2015
1829,2015-01-04 00:00:00,,04,01,2015
1830,2015-01-05 00:00:00,612.47,05,01,2015
1831,2015-01-06 00:00:00,616.76,06,01,2015
1832,2015-01-07 00:00:00,616.09,07,01,2015
1833,2015-01-08 00:00:00,614.76,08,01,2015
1834,2015-01-09 00:00:00,613.08,09,01,2015
1835,2015-01-10 00:00:00,,10,01,2015
1836,2015-01-11 00:00:00,,11,01,2015
1837,2015-01-12 00:00:00,614.03,12,01,2015
1838,2015-01-13 00:00:00,616.52,13,01,2015
1839,2015-01-14 00:00:00,617.53,14,01,2015
1840,2015-01-15 00:00:00,625.38,15,01,2015
1841,2015-01-16 00:00:00,623.67,16,01,2015
1842,2015-01-17 00:00:00,,17,01,2015
1843,2015-01-18 00:00:00,,18,01,2015
1844,2015-01-19 00:00:00,627.01,19,01,2015
1845,2015-01-20 00:00:00,629.09,20,01,2015
1846,2015-01-21 00:00:00,627.23,21,01,2015
1847,2015-01-22 00:00:00,628.44,22,01,2015
1848,2015-01-23 00:00:00,625.95,23,01,2015
1849,2015-01-24 00:00:00,,24,01,2015
1850,2015-01-25 00:00:00,,25,01,2015
1851,2015-01-26 00:00:00,626.38,26,01,2015
1852,2015-01-27 00:00:00,625.67,27,01,2015
1853,2015-01-28 00:00:00,623.37,28,01,2015
1854,2015-01-29 00:00:00,622.44,29,01,2015
1855,2015-01-30 00:00:00,626.48,30,01,2015
1856,2015-01-31 00:00:00,,31,01,2015
1857,2015-02-01 00:00:00,,01,02,2015
1858,2015-02-02 00:00:00,632.03,02,02,2015
1859,2015-02-03 00:00:00,632.19,03,02,2015
1860,2015-02-04 00:00:00,626.97,04,02,2015
1861,2015-02-05 00:00:00,627.09,05,02,2015
1862,2015-02-06 00:00:00,624.8,06,02,2015
1863,2015-02-07 00:00:00,,07,02,2015
1864,2015-02-08 00:00:00,,08,02,2015
1865,2015-02-09 00:00:00,623.21,09,02,2015
1866,2015-02-10 00:00:00,626.04,10,02,2015
1867,2015-02-11 00:00:00,626.44,11,02,2015
1868,2015-02-12 00:00:00,628.22,12,02,2015
1869,2015-02-13 00:00:00,626.92,13,02,2015
1870,2015-02-14 00:00:00,,14,02,2015
1871,2015-02-15 00:00:00,,15,02,2015
1872,2015-02-16 00:00:00,620.18,16,02,2015
1873,2015-02-17 00:00:00,619.72,17,02,2015
1874,2015-02-18 00:00:00,619.72,18,02,2015
1875,2015-02-19 00:00:00,620.4,19,02,2015
1876,2015-02-20 00:00:00,620.33,20,02,2015
1877,2015-02-21 00:00:00,,21,02,2015
1878,2015-02-22 00:00:00,,22,02,2015
1879,2015-02-23 00:00:00,616.86,23,02,2015
1880,2015-02-24 00:00:00,621.18,24,02,2015
1881,2015-02-25 00:00:00,622.88,25,02,2015
1882,2015-02-26 00:00:00,619.5,26,02,2015
1883,2015-02-27 00:00:00,617.67,27,02,2015
1884,2015-02-28 00:00:00,,28,02,2015
1885,2015-03-01 00:00:00,,01,03,2015
1886,2015-03-02 00:00:00,618.76,02,03,2015
1887,2015-03-03 00:00:00,617.38,03,03,2015
1888,2015-03-04 00:00:00,617.6,04,03,2015
1889,2015-03-05 00:00:00,619.78,05,03,2015
1890,2015-03-06 00:00:00,619.61,06,03,2015
1891,2015-03-07 00:00:00,,07,03,2015
1892,2015-03-08 00:00:00,,08,03,2015
1893,2015-03-09 00:00:00,624.68,09,03,2015
1894,2015-03-10 00:00:00,628.47,10,03,2015
1895,2015-03-11 00:00:00,633.03,11,03,2015
1896,2015-03-12 00:00:00,637.59,12,03,2015
1897,2015-03-13 00:00:00,633.54,13,03,2015
1898,2015-03-14 00:00:00,,14,03,2015
1899,2015-03-15 00:00:00,,15,03,2015
1900,2015-03-16 00:00:00,639.02,16,03,2015
1901,2015-03-17 00:00:00,639.37,17,03,2015
1902,2015-03-18 00:00:00,640.84,18,03,2015
1903,2015-03-19 00:00:00,642.18,19,03,2015
1904,2015-03-20 00:00:00,638.82,20,03,2015
1905,2015-03-21 00:00:00,,21,03,2015
1906,2015-03-22 00:00:00,,22,03,2015
1907,2015-03-23 00:00:00,635.62,23,03,2015
1908,2015-03-24 00:00:00,627.0,24,03,2015
1909,2015-03-25 00:00:00,623.65,25,03,2015
1910,2015-03-26 00:00:00,619.79,26,03,2015
1911,2015-03-27 00:00:00,620.68,27,03,2015
1912,2015-03-28 00:00:00,,28,03,2015
1913,2015-03-29 00:00:00,,29,03,2015
1914,2015-03-30 00:00:00,622.79,30,03,2015
1915,2015-03-31 00:00:00,626.87,31,03,2015
1916,2015-04-01 00:00:00,626.58,01,04,2015
1917,2015-04-02 00:00:00,618.22,02,04,2015
1918,2015-04-03 00:00:00,,03,04,2015
1919,2015-04-04 00:00:00,,04,04,2015
1920,2015-04-05 00:00:00,,05,04,2015
1921,2015-04-06 00:00:00,614.77,06,04,2015
1922,2015-04-07 00:00:00,610.74,07,04,2015
1923,2015-04-08 00:00:00,611.01,08,04,2015
1924,2015-04-09 00:00:00,611.05,09,04,2015
1925,2015-04-10 00:00:00,613.91,10,04,2015
1926,2015-04-11 00:00:00,,11,04,2015
1927,2015-04-12 00:00:00,,12,04,2015
1928,2015-04-13 00:00:00,619.42,13,04,2015
1929,2015-04-14 00:00:00,621.1,14,04,2015
1930,2015-04-15 00:00:00,614.06,15,04,2015
1931,2015-04-16 00:00:00,616.7,16,04,2015
1932,2015-04-17 00:00:00,612.3,17,04,2015
1933,2015-04-18 00:00:00,,18,04,2015
1934,2015-04-19 00:00:00,,19,04,2015
1935,2015-04-20 00:00:00,612.73,20,04,2015
1936,2015-04-21 00:00:00,615.42,21,04,2015
1937,2015-04-22 00:00:00,616.42,22,04,2015
1938,2015-04-23 00:00:00,618.02,23,04,2015
1939,2015-04-24 00:00:00,618.12,24,04,2015
1940,2015-04-25 00:00:00,,25,04,2015
1941,2015-04-26 00:00:00,,26,04,2015
1942,2015-04-27 00:00:00,614.42,27,04,2015
1943,2015-04-28 00:00:00,611.08,28,04,2015
1944,2015-04-29 00:00:00,606.39,29,04,2015
1945,2015-04-30 00:00:00,606.82,30,04,2015
1946,2015-05-01 00:00:00,,01,05,2015
1947,2015-05-02 00:00:00,,02,05,2015
1948,2015-05-03 00:00:00,,03,05,2015
1949,2015-05-04 00:00:00,611.28,04,05,2015
1950,2015-05-05 00:00:00,614.48,05,05,2015
1951,2015-05-06 00:00:00,611.89,06,05,2015
1952,2015-05-07 00:00:00,608.84,07,05,2015
1953,2015-05-08 00:00:00,610.61,08,05,2015
1954,2015-05-09 00:00:00,,09,05,2015
1955,2015-05-10 00:00:00,,10,05,2015
1956,2015-05-11 00:00:00,605.77,11,05,2015
1957,2015-05-12 00:00:00,606.92,12,05,2015
1958,2015-05-13 00:00:00,607.31,13,05,2015
1959,2015-05-14 00:00:00,600.5,14,05,2015
1960,2015-05-15 00:00:00,598.4,15,05,2015
1961,2015-05-16 00:00:00,,16,05,2015
1962,2015-05-17 00:00:00,,17,05,2015
1963,2015-05-18 00:00:00,597.1,18,05,2015
1964,2015-05-19 00:00:00,599.06,19,05,2015
1965,2015-05-20 00:00:00,603.09,20,05,2015
1966,2015-05-21 00:00:00,,21,05,2015
1967,2015-05-22 00:00:00,605.41,22,05,2015
1968,2015-05-23 00:00:00,,23,05,2015
1969,2015-05-24 00:00:00,,24,05,2015
1970,2015-05-25 00:00:00,607.6,25,05,2015
1971,2015-05-26 00:00:00,609.87,26,05,2015
1972,2015-05-27 00:00:00,612.62,27,05,2015
1973,2015-05-28 00:00:00,616.14,28,05,2015
1974,2015-05-29 00:00:00,617.45,29,05,2015
1975,2015-05-30 00:00:00,,30,05,2015
1976,2015-05-31 00:00:00,,31,05,2015
1977,2015-06-01 00:00:00,616.66,01,06,2015
1978,2015-06-02 00:00:00,621.69,02,06,2015
1979,2015-06-03 00:00:00,622.21,03,06,2015
1980,2015-06-04 00:00:00,626.01,04,06,2015
1981,2015-06-05 00:00:00,628.06,05,06,2015
1982,2015-06-06 00:00:00,,06,06,2015
1983,2015-06-07 00:00:00,,07,06,2015
1984,2015-06-08 00:00:00,635.61,08,06,2015
1985,2015-06-09 00:00:00,633.7,09,06,2015
1986,2015-06-10 00:00:00,626.55,10,06,2015
1987,2015-06-11 00:00:00,624.45,11,06,2015
1988,2015-06-12 00:00:00,631.98,12,06,2015
1989,2015-06-13 00:00:00,,13,06,2015
1990,2015-06-14 00:00:00,,14,06,2015
1991,2015-06-15 00:00:00,631.06,15,06,2015
1992,2015-06-16 00:00:00,634.13,16,06,2015
1993,2015-06-17 00:00:00,633.69,17,06,2015
1994,2015-06-18 00:00:00,637.8,18,06,2015
1995,2015-06-19 00:00:00,629.59,19,06,2015
1996,2015-06-20 00:00:00,,20,06,2015
1997,2015-06-21 00:00:00,,21,06,2015
1998,2015-06-22 00:00:00,632.31,22,06,2015
1999,2015-06-23 00:00:00,630.64,23,06,2015
2000,2015-06-24 00:00:00,634.54,24,06,2015
2001,2015-06-25 00:00:00,632.82,25,06,2015
2002,2015-06-26 00:00:00,631.81,26,06,2015
2003,2015-06-27 00:00:00,,27,06,2015
2004,2015-06-28 00:00:00,,28,06,2015
2005,2015-06-29 00:00:00,,29,06,2015
2006,2015-06-30 00:00:00,634.58,30,06,2015
2007,2015-07-01 00:00:00,639.04,01,07,2015
2008,2015-07-02 00:00:00,639.04,02,07,2015
2009,2015-07-03 00:00:00,637.02,03,07,2015
2010,2015-07-04 00:00:00,,04,07,2015
2011,2015-07-05 00:00:00,,05,07,2015
2012,2015-07-06 00:00:00,636.39,06,07,2015
2013,2015-07-07 00:00:00,641.5,07,07,2015
2014,2015-07-08 00:00:00,648.33,08,07,2015
2015,2015-07-09 00:00:00,652.4,09,07,2015
2016,2015-07-10 00:00:00,646.94,10,07,2015
2017,2015-07-11 00:00:00,,11,07,2015
2018,2015-07-12 00:00:00,,12,07,2015
2019,2015-07-13 00:00:00,646.15,13,07,2015
2020,2015-07-14 00:00:00,647.68,14,07,2015
2021,2015-07-15 00:00:00,643.6,15,07,2015
2022,2015-07-16 00:00:00,,16,07,2015
2023,2015-07-17 00:00:00,643.07,17,07,2015
2024,2015-07-18 00:00:00,,18,07,2015
2025,2015-07-19 00:00:00,,19,07,2015
2026,2015-07-20 00:00:00,644.9,20,07,2015
2027,2015-07-21 00:00:00,649.3,21,07,2015
2028,2015-07-22 00:00:00,651.17,22,07,2015
2029,2015-07-23 00:00:00,654.19,23,07,2015
2030,2015-07-24 00:00:00,654.29,24,07,2015
2031,2015-07-25 00:00:00,,25,07,2015
2032,2015-07-26 00:00:00,,26,07,2015
2033,2015-07-27 00:00:00,660.67,27,07,2015
2034,2015-07-28 00:00:00,665.18,28,07,2015
2035,2015-07-29 00:00:00,664.5,29,07,2015
2036,2015-07-30 00:00:00,665.52,30,07,2015
2037,2015-07-31 00:00:00,672.19,31,07,2015
2038,2015-08-01 00:00:00,,01,08,2015
2039,2015-08-02 00:00:00,,02,08,2015
2040,2015-08-03 00:00:00,671.11,03,08,2015
2041,2015-08-04 00:00:00,678.44,04,08,2015
2042,2015-08-05 00:00:00,677.36,05,08,2015
2043,2015-08-06 00:00:00,682.55,06,08,2015
2044,2015-08-07 00:00:00,684.12,07,08,2015
2045,2015-08-08 00:00:00,,08,08,2015
2046,2015-08-09 00:00:00,,09,08,2015
2047,2015-08-10 00:00:00,678.36,10,08,2015
2048,2015-08-11 00:00:00,676.43,11,08,2015
2049,2015-08-12 00:00:00,680.32,12,08,2015
2050,2015-08-13 00:00:00,681.76,13,08,2015
2051,2015-08-14 00:00:00,684.89,14,08,2015
2052,2015-08-15 00:00:00,,15,08,2015
2053,2015-08-16 00:00:00,,16,08,2015
2054,2015-08-17 00:00:00,683.83,17,08,2015
2055,2015-08-18 00:00:00,689.36,18,08,2015
2056,2015-08-19 00:00:00,697.25,19,08,2015
2057,2015-08-20 00:00:00,694.88,20,08,2015
2058,2015-08-21 00:00:00,694.19,21,08,2015
2059,2015-08-22 00:00:00,,22,08,2015
2060,2015-08-23 00:00:00,,23,08,2015
2061,2015-08-24 00:00:00,693.94,24,08,2015
2062,2015-08-25 00:00:00,705.68,25,08,2015
2063,2015-08-26 00:00:00,699.91,26,08,2015
2064,2015-08-27 00:00:00,706.24,27,08,2015
2065,2015-08-28 00:00:00,699.69,28,08,2015
2066,2015-08-29 00:00:00,,29,08,2015
2067,2015-08-30 00:00:00,,30,08,2015
