,Periodo,1.Dólar observado,dia,mes,year
2922,2018-01-01 00:00:00,,01,01,2018
2923,2018-01-02 00:00:00,614.75,02,01,2018
2924,2018-01-03 00:00:00,609.49,03,01,2018
2925,2018-01-04 00:00:00,604.84,04,01,2018
2926,2018-01-05 00:00:00,604.0,05,01,2018
2927,2018-01-06 00:00:00,,06,01,2018
2928,2018-01-07 00:00:00,,07,01,2018
2929,2018-01-08 00:00:00,606.04,08,01,2018
2930,2018-01-09 00:00:00,606.29,09,01,2018
2931,2018-01-10 00:00:00,607.25,10,01,2018
2932,2018-01-11 00:00:00,609.17,11,01,2018
2933,2018-01-12 00:00:00,608.04,12,01,2018
2934,2018-01-13 00:00:00,,13,01,2018
2935,2018-01-14 00:00:00,,14,01,2018
2936,2018-01-15 00:00:00,604.09,15,01,2018
2937,2018-01-16 00:00:00,601.69,16,01,2018
2938,2018-01-17 00:00:00,601.69,17,01,2018
2939,2018-01-18 00:00:00,604.99,18,01,2018
2940,2018-01-19 00:00:00,605.45,19,01,2018
2941,2018-01-20 00:00:00,,20,01,2018
2942,2018-01-21 00:00:00,,21,01,2018
2943,2018-01-22 00:00:00,606.55,22,01,2018
2944,2018-01-23 00:00:00,606.28,23,01,2018
2945,2018-01-24 00:00:00,608.15,24,01,2018
2946,2018-01-25 00:00:00,604.12,25,01,2018
2947,2018-01-26 00:00:00,599.33,26,01,2018
2948,2018-01-27 00:00:00,,27,01,2018
2949,2018-01-28 00:00:00,,28,01,2018
2950,2018-01-29 00:00:00,600.37,29,01,2018
2951,2018-01-30 00:00:00,604.63,30,01,2018
2952,2018-01-31 00:00:00,604.42,31,01,2018
2953,2018-02-01 00:00:00,603.25,01,02,2018
2954,2018-02-02 00:00:00,599.19,02,02,2018
2955,2018-02-03 00:00:00,,03,02,2018
2956,2018-02-04 00:00:00,,04,02,2018
2957,2018-02-05 00:00:00,601.26,05,02,2018
2958,2018-02-06 00:00:00,603.07,06,02,2018
2959,2018-02-07 00:00:00,601.23,07,02,2018
2960,2018-02-08 00:00:00,596.53,08,02,2018
2961,2018-02-09 00:00:00,600.74,09,02,2018
2962,2018-02-10 00:00:00,,10,02,2018
2963,2018-02-11 00:00:00,,11,02,2018
2964,2018-02-12 00:00:00,603.07,12,02,2018
2965,2018-02-13 00:00:00,600.35,13,02,2018
2966,2018-02-14 00:00:00,596.99,14,02,2018
2967,2018-02-15 00:00:00,596.66,15,02,2018
2968,2018-02-16 00:00:00,592.66,16,02,2018
2969,2018-02-17 00:00:00,,17,02,2018
2970,2018-02-18 00:00:00,,18,02,2018
2971,2018-02-19 00:00:00,593.15,19,02,2018
2972,2018-02-20 00:00:00,594.58,20,02,2018
2973,2018-02-21 00:00:00,595.63,21,02,2018
2974,2018-02-22 00:00:00,594.7,22,02,2018
2975,2018-02-23 00:00:00,594.73,23,02,2018
2976,2018-02-24 00:00:00,,24,02,2018
2977,2018-02-25 00:00:00,,25,02,2018
2978,2018-02-26 00:00:00,591.56,26,02,2018
2979,2018-02-27 00:00:00,588.28,27,02,2018
2980,2018-02-28 00:00:00,589.15,28,02,2018
2981,2018-03-01 00:00:00,593.61,01,03,2018
2982,2018-03-02 00:00:00,596.15,02,03,2018
2983,2018-03-03 00:00:00,,03,03,2018
2984,2018-03-04 00:00:00,,04,03,2018
2985,2018-03-05 00:00:00,598.04,05,03,2018
2986,2018-03-06 00:00:00,600.51,06,03,2018
2987,2018-03-07 00:00:00,595.93,07,03,2018
2988,2018-03-08 00:00:00,601.91,08,03,2018
2989,2018-03-09 00:00:00,605.22,09,03,2018
2990,2018-03-10 00:00:00,,10,03,2018
2991,2018-03-11 00:00:00,,11,03,2018
2992,2018-03-12 00:00:00,603.56,12,03,2018
2993,2018-03-13 00:00:00,603.85,13,03,2018
2994,2018-03-14 00:00:00,602.19,14,03,2018
2995,2018-03-15 00:00:00,601.16,15,03,2018
2996,2018-03-16 00:00:00,603.54,16,03,2018
2997,2018-03-17 00:00:00,,17,03,2018
2998,2018-03-18 00:00:00,,18,03,2018
2999,2018-03-19 00:00:00,607.6,19,03,2018
3000,2018-03-20 00:00:00,609.39,20,03,2018
3001,2018-03-21 00:00:00,609.58,21,03,2018
3002,2018-03-22 00:00:00,607.23,22,03,2018
3003,2018-03-23 00:00:00,607.76,23,03,2018
3004,2018-03-24 00:00:00,,24,03,2018
3005,2018-03-25 00:00:00,,25,03,2018
3006,2018-03-26 00:00:00,608.14,26,03,2018
3007,2018-03-27 00:00:00,606.07,27,03,2018
3008,2018-03-28 00:00:00,605.65,28,03,2018
3009,2018-03-29 00:00:00,605.26,29,03,2018
3010,2018-03-30 00:00:00,,30,03,2018
