,Periodo,1.Dólar observado,dia,mes,year
0,1982-08-09 00:00:00,55.65,09,08,1982
1,1982-08-10 00:00:00,62.79,10,08,1982
2,1982-08-11 00:00:00,64.07,11,08,1982
3,1982-08-12 00:00:00,60.52,12,08,1982
4,1982-08-13 00:00:00,56.87,13,08,1982
5,1982-08-14 00:00:00,,14,08,1982
6,1982-08-15 00:00:00,,15,08,1982
7,1982-08-16 00:00:00,55.32,16,08,1982
8,1982-08-17 00:00:00,55.28,17,08,1982
9,1982-08-18 00:00:00,55.53,18,08,1982
10,1982-08-19 00:00:00,56.65,19,08,1982
11,1982-08-20 00:00:00,58.63,20,08,1982
12,1982-08-21 00:00:00,,21,08,1982
13,1982-08-22 00:00:00,,22,08,1982
14,1982-08-23 00:00:00,60.28,23,08,1982
15,1982-08-24 00:00:00,56.82,24,08,1982
16,1982-08-25 00:00:00,55.67,25,08,1982
17,1982-08-26 00:00:00,55.58,26,08,1982
18,1982-08-27 00:00:00,55.79,27,08,1982
19,1982-08-28 00:00:00,,28,08,1982
20,1982-08-29 00:00:00,,29,08,1982
21,1982-08-30 00:00:00,58.42,30,08,1982
22,1982-08-31 00:00:00,58.81,31,08,1982
23,1982-09-01 00:00:00,57.1,01,09,1982
24,1982-09-02 00:00:00,58.84,02,09,1982
25,1982-09-03 00:00:00,58.99,03,09,1982
26,1982-09-04 00:00:00,,04,09,1982
27,1982-09-05 00:00:00,,05,09,1982
28,1982-09-06 00:00:00,59.52,06,09,1982
29,1982-09-07 00:00:00,59.71,07,09,1982
30,1982-09-08 00:00:00,59.49,08,09,1982
31,1982-09-09 00:00:00,60.15,09,09,1982
32,1982-09-10 00:00:00,61.07,10,09,1982
33,1982-09-11 00:00:00,,11,09,1982
34,1982-09-12 00:00:00,,12,09,1982
35,1982-09-13 00:00:00,62.43,13,09,1982
36,1982-09-14 00:00:00,62.88,14,09,1982
37,1982-09-15 00:00:00,64.44,15,09,1982
38,1982-09-16 00:00:00,66.48,16,09,1982
39,1982-09-17 00:00:00,67.5,17,09,1982
40,1982-09-18 00:00:00,,18,09,1982
41,1982-09-19 00:00:00,,19,09,1982
42,1982-09-20 00:00:00,66.11,20,09,1982
43,1982-09-21 00:00:00,64.84,21,09,1982
44,1982-09-22 00:00:00,63.8,22,09,1982
45,1982-09-23 00:00:00,64.33,23,09,1982
46,1982-09-24 00:00:00,64.37,24,09,1982
47,1982-09-25 00:00:00,,25,09,1982
48,1982-09-26 00:00:00,,26,09,1982
49,1982-09-27 00:00:00,65.12,27,09,1982
50,1982-09-28 00:00:00,65.7,28,09,1982
51,1982-09-29 00:00:00,66.87,29,09,1982
52,1982-09-30 00:00:00,67.23,30,09,1982
53,1982-10-01 00:00:00,67.41,01,10,1982
54,1982-10-02 00:00:00,,02,10,1982
55,1982-10-03 00:00:00,,03,10,1982
56,1982-10-04 00:00:00,66.81,04,10,1982
57,1982-10-05 00:00:00,66.23,05,10,1982
58,1982-10-06 00:00:00,65.94,06,10,1982
59,1982-10-07 00:00:00,66.02,07,10,1982
60,1982-10-08 00:00:00,65.97,08,10,1982
61,1982-10-09 00:00:00,,09,10,1982
62,1982-10-10 00:00:00,,10,10,1982
63,1982-10-11 00:00:00,65.85,11,10,1982
