,Periodo,1.Dólar observado,dia,mes,year
510,1984-01-01 00:00:00,,01,01,1984
511,1984-01-02 00:00:00,87.54,02,01,1984
512,1984-01-03 00:00:00,87.62,03,01,1984
513,1984-01-04 00:00:00,87.63,04,01,1984
514,1984-01-05 00:00:00,87.66,05,01,1984
515,1984-01-06 00:00:00,87.68,06,01,1984
516,1984-01-07 00:00:00,,07,01,1984
517,1984-01-08 00:00:00,,08,01,1984
518,1984-01-09 00:00:00,87.7,09,01,1984
519,1984-01-10 00:00:00,87.77,10,01,1984
520,1984-01-11 00:00:00,87.78,11,01,1984
521,1984-01-12 00:00:00,87.79,12,01,1984
522,1984-01-13 00:00:00,87.81,13,01,1984
523,1984-01-14 00:00:00,,14,01,1984
524,1984-01-15 00:00:00,,15,01,1984
525,1984-01-16 00:00:00,87.81,16,01,1984
526,1984-01-17 00:00:00,87.85,17,01,1984
527,1984-01-18 00:00:00,87.85,18,01,1984
528,1984-01-19 00:00:00,87.87,19,01,1984
529,1984-01-20 00:00:00,87.9,20,01,1984
530,1984-01-21 00:00:00,,21,01,1984
531,1984-01-22 00:00:00,,22,01,1984
532,1984-01-23 00:00:00,87.9,23,01,1984
533,1984-01-24 00:00:00,87.92,24,01,1984
534,1984-01-25 00:00:00,87.95,25,01,1984
535,1984-01-26 00:00:00,87.98,26,01,1984
536,1984-01-27 00:00:00,87.96,27,01,1984
537,1984-01-28 00:00:00,,28,01,1984
538,1984-01-29 00:00:00,,29,01,1984
539,1984-01-30 00:00:00,88.01,30,01,1984
540,1984-01-31 00:00:00,88.01,31,01,1984
541,1984-02-01 00:00:00,88.01,01,02,1984
542,1984-02-02 00:00:00,88.02,02,02,1984
543,1984-02-03 00:00:00,88.05,03,02,1984
544,1984-02-04 00:00:00,,04,02,1984
545,1984-02-05 00:00:00,,05,02,1984
546,1984-02-06 00:00:00,88.08,06,02,1984
547,1984-02-07 00:00:00,88.09,07,02,1984
548,1984-02-08 00:00:00,88.09,08,02,1984
549,1984-02-09 00:00:00,88.1,09,02,1984
550,1984-02-10 00:00:00,88.09,10,02,1984
551,1984-02-11 00:00:00,,11,02,1984
552,1984-02-12 00:00:00,,12,02,1984
553,1984-02-13 00:00:00,88.1,13,02,1984
554,1984-02-14 00:00:00,88.13,14,02,1984
555,1984-02-15 00:00:00,88.15,15,02,1984
556,1984-02-16 00:00:00,88.19,16,02,1984
557,1984-02-17 00:00:00,88.14,17,02,1984
558,1984-02-18 00:00:00,,18,02,1984
559,1984-02-19 00:00:00,,19,02,1984
560,1984-02-20 00:00:00,88.14,20,02,1984
561,1984-02-21 00:00:00,88.16,21,02,1984
562,1984-02-22 00:00:00,88.17,22,02,1984
563,1984-02-23 00:00:00,88.15,23,02,1984
