,Periodo,1.Dólar observado,dia,mes,year
2557,2007-01-01 00:00:00,,01,01,2007
2558,2007-01-02 00:00:00,532.39,02,01,2007
2559,2007-01-03 00:00:00,534.42,03,01,2007
2560,2007-01-04 00:00:00,538.22,04,01,2007
2561,2007-01-05 00:00:00,540.69,05,01,2007
2562,2007-01-06 00:00:00,,06,01,2007
2563,2007-01-07 00:00:00,,07,01,2007
2564,2007-01-08 00:00:00,540.41,08,01,2007
2565,2007-01-09 00:00:00,543.15,09,01,2007
2566,2007-01-10 00:00:00,542.27,10,01,2007
2567,2007-01-11 00:00:00,543.29,11,01,2007
2568,2007-01-12 00:00:00,538.27,12,01,2007
2569,2007-01-13 00:00:00,,13,01,2007
2570,2007-01-14 00:00:00,,14,01,2007
2571,2007-01-15 00:00:00,539.74,15,01,2007
2572,2007-01-16 00:00:00,540.38,16,01,2007
2573,2007-01-17 00:00:00,542.59,17,01,2007
2574,2007-01-18 00:00:00,542.75,18,01,2007
2575,2007-01-19 00:00:00,540.98,19,01,2007
2576,2007-01-20 00:00:00,,20,01,2007
2577,2007-01-21 00:00:00,,21,01,2007
2578,2007-01-22 00:00:00,541.54,22,01,2007
2579,2007-01-23 00:00:00,540.1,23,01,2007
2580,2007-01-24 00:00:00,540.84,24,01,2007
2581,2007-01-25 00:00:00,539.05,25,01,2007
2582,2007-01-26 00:00:00,538.88,26,01,2007
2583,2007-01-27 00:00:00,,27,01,2007
2584,2007-01-28 00:00:00,,28,01,2007
2585,2007-01-29 00:00:00,542.12,29,01,2007
2586,2007-01-30 00:00:00,543.96,30,01,2007
2587,2007-01-31 00:00:00,545.18,31,01,2007
2588,2007-02-01 00:00:00,544.49,01,02,2007
2589,2007-02-02 00:00:00,543.07,02,02,2007
2590,2007-02-03 00:00:00,,03,02,2007
2591,2007-02-04 00:00:00,,04,02,2007
2592,2007-02-05 00:00:00,546.31,05,02,2007
2593,2007-02-06 00:00:00,547.07,06,02,2007
2594,2007-02-07 00:00:00,547.24,07,02,2007
2595,2007-02-08 00:00:00,548.67,08,02,2007
2596,2007-02-09 00:00:00,548.22,09,02,2007
2597,2007-02-10 00:00:00,,10,02,2007
2598,2007-02-11 00:00:00,,11,02,2007
2599,2007-02-12 00:00:00,545.84,12,02,2007
2600,2007-02-13 00:00:00,546.43,13,02,2007
2601,2007-02-14 00:00:00,543.94,14,02,2007
2602,2007-02-15 00:00:00,540.67,15,02,2007
2603,2007-02-16 00:00:00,539.07,16,02,2007
2604,2007-02-17 00:00:00,,17,02,2007
2605,2007-02-18 00:00:00,,18,02,2007
2606,2007-02-19 00:00:00,540.04,19,02,2007
2607,2007-02-20 00:00:00,539.58,20,02,2007
2608,2007-02-21 00:00:00,539.06,21,02,2007
2609,2007-02-22 00:00:00,539.69,22,02,2007
2610,2007-02-23 00:00:00,536.21,23,02,2007
2611,2007-02-24 00:00:00,,24,02,2007
2612,2007-02-25 00:00:00,,25,02,2007
2613,2007-02-26 00:00:00,536.02,26,02,2007
2614,2007-02-27 00:00:00,535.29,27,02,2007
2615,2007-02-28 00:00:00,538.42,28,02,2007
2616,2007-03-01 00:00:00,540.07,01,03,2007
2617,2007-03-02 00:00:00,541.42,02,03,2007
2618,2007-03-03 00:00:00,,03,03,2007
2619,2007-03-04 00:00:00,,04,03,2007
2620,2007-03-05 00:00:00,540.49,05,03,2007
2621,2007-03-06 00:00:00,541.95,06,03,2007
2622,2007-03-07 00:00:00,537.85,07,03,2007
2623,2007-03-08 00:00:00,537.43,08,03,2007
2624,2007-03-09 00:00:00,536.81,09,03,2007
2625,2007-03-10 00:00:00,,10,03,2007
2626,2007-03-11 00:00:00,,11,03,2007
2627,2007-03-12 00:00:00,538.54,12,03,2007
2628,2007-03-13 00:00:00,539.2,13,03,2007
2629,2007-03-14 00:00:00,539.24,14,03,2007
2630,2007-03-15 00:00:00,540.15,15,03,2007
2631,2007-03-16 00:00:00,538.01,16,03,2007
2632,2007-03-17 00:00:00,,17,03,2007
2633,2007-03-18 00:00:00,,18,03,2007
2634,2007-03-19 00:00:00,536.97,19,03,2007
2635,2007-03-20 00:00:00,536.02,20,03,2007
2636,2007-03-21 00:00:00,535.8,21,03,2007
2637,2007-03-22 00:00:00,535.77,22,03,2007
2638,2007-03-23 00:00:00,535.36,23,03,2007
2639,2007-03-24 00:00:00,,24,03,2007
2640,2007-03-25 00:00:00,,25,03,2007
2641,2007-03-26 00:00:00,537.45,26,03,2007
2642,2007-03-27 00:00:00,538.49,27,03,2007
2643,2007-03-28 00:00:00,539.57,28,03,2007
2644,2007-03-29 00:00:00,540.77,29,03,2007
2645,2007-03-30 00:00:00,539.37,30,03,2007
2646,2007-03-31 00:00:00,,31,03,2007
2647,2007-04-01 00:00:00,,01,04,2007
2648,2007-04-02 00:00:00,539.21,02,04,2007
2649,2007-04-03 00:00:00,539.69,03,04,2007
2650,2007-04-04 00:00:00,537.86,04,04,2007
2651,2007-04-05 00:00:00,537.53,05,04,2007
2652,2007-04-06 00:00:00,,06,04,2007
2653,2007-04-07 00:00:00,,07,04,2007
2654,2007-04-08 00:00:00,,08,04,2007
2655,2007-04-09 00:00:00,536.81,09,04,2007
2656,2007-04-10 00:00:00,535.45,10,04,2007
2657,2007-04-11 00:00:00,534.93,11,04,2007
2658,2007-04-12 00:00:00,532.75,12,04,2007
2659,2007-04-13 00:00:00,532.52,13,04,2007
2660,2007-04-14 00:00:00,,14,04,2007
2661,2007-04-15 00:00:00,,15,04,2007
2662,2007-04-16 00:00:00,532.02,16,04,2007
2663,2007-04-17 00:00:00,530.51,17,04,2007
2664,2007-04-18 00:00:00,529.28,18,04,2007
2665,2007-04-19 00:00:00,529.31,19,04,2007
2666,2007-04-20 00:00:00,530.14,20,04,2007
2667,2007-04-21 00:00:00,,21,04,2007
2668,2007-04-22 00:00:00,,22,04,2007
2669,2007-04-23 00:00:00,528.49,23,04,2007
2670,2007-04-24 00:00:00,528.3,24,04,2007
2671,2007-04-25 00:00:00,529.1,25,04,2007
2672,2007-04-26 00:00:00,527.55,26,04,2007
2673,2007-04-27 00:00:00,527.49,27,04,2007
2674,2007-04-28 00:00:00,,28,04,2007
2675,2007-04-29 00:00:00,,29,04,2007
2676,2007-04-30 00:00:00,527.08,30,04,2007
2677,2007-05-01 00:00:00,,01,05,2007
2678,2007-05-02 00:00:00,525.96,02,05,2007
2679,2007-05-03 00:00:00,525.16,03,05,2007
2680,2007-05-04 00:00:00,523.54,04,05,2007
2681,2007-05-05 00:00:00,,05,05,2007
2682,2007-05-06 00:00:00,,06,05,2007
2683,2007-05-07 00:00:00,520.72,07,05,2007
2684,2007-05-08 00:00:00,517.83,08,05,2007
2685,2007-05-09 00:00:00,519.33,09,05,2007
2686,2007-05-10 00:00:00,519.13,10,05,2007
2687,2007-05-11 00:00:00,518.46,11,05,2007
2688,2007-05-12 00:00:00,,12,05,2007
2689,2007-05-13 00:00:00,,13,05,2007
2690,2007-05-14 00:00:00,518.33,14,05,2007
2691,2007-05-15 00:00:00,518.63,15,05,2007
2692,2007-05-16 00:00:00,518.18,16,05,2007
2693,2007-05-17 00:00:00,517.64,17,05,2007
2694,2007-05-18 00:00:00,521.41,18,05,2007
2695,2007-05-19 00:00:00,,19,05,2007
2696,2007-05-20 00:00:00,,20,05,2007
2697,2007-05-21 00:00:00,,21,05,2007
2698,2007-05-22 00:00:00,521.94,22,05,2007
2699,2007-05-23 00:00:00,522.01,23,05,2007
2700,2007-05-24 00:00:00,525.14,24,05,2007
2701,2007-05-25 00:00:00,525.61,25,05,2007
2702,2007-05-26 00:00:00,,26,05,2007
2703,2007-05-27 00:00:00,,27,05,2007
2704,2007-05-28 00:00:00,523.29,28,05,2007
2705,2007-05-29 00:00:00,526.31,29,05,2007
2706,2007-05-30 00:00:00,526.2,30,05,2007
2707,2007-05-31 00:00:00,527.52,31,05,2007
2708,2007-06-01 00:00:00,525.1,01,06,2007
2709,2007-06-02 00:00:00,,02,06,2007
2710,2007-06-03 00:00:00,,03,06,2007
2711,2007-06-04 00:00:00,524.3,04,06,2007
2712,2007-06-05 00:00:00,525.7,05,06,2007
2713,2007-06-06 00:00:00,524.77,06,06,2007
2714,2007-06-07 00:00:00,526.55,07,06,2007
2715,2007-06-08 00:00:00,527.63,08,06,2007
2716,2007-06-09 00:00:00,,09,06,2007
2717,2007-06-10 00:00:00,,10,06,2007
2718,2007-06-11 00:00:00,529.18,11,06,2007
2719,2007-06-12 00:00:00,527.85,12,06,2007
2720,2007-06-13 00:00:00,528.39,13,06,2007
2721,2007-06-14 00:00:00,529.32,14,06,2007
2722,2007-06-15 00:00:00,529.0,15,06,2007
2723,2007-06-16 00:00:00,,16,06,2007
2724,2007-06-17 00:00:00,,17,06,2007
2725,2007-06-18 00:00:00,526.43,18,06,2007
2726,2007-06-19 00:00:00,524.59,19,06,2007
2727,2007-06-20 00:00:00,524.1,20,06,2007
2728,2007-06-21 00:00:00,524.15,21,06,2007
2729,2007-06-22 00:00:00,525.41,22,06,2007
2730,2007-06-23 00:00:00,,23,06,2007
2731,2007-06-24 00:00:00,,24,06,2007
2732,2007-06-25 00:00:00,526.05,25,06,2007
2733,2007-06-26 00:00:00,527.38,26,06,2007
2734,2007-06-27 00:00:00,527.96,27,06,2007
2735,2007-06-28 00:00:00,529.78,28,06,2007
2736,2007-06-29 00:00:00,527.46,29,06,2007
2737,2007-06-30 00:00:00,,30,06,2007
2738,2007-07-01 00:00:00,,01,07,2007
2739,2007-07-02 00:00:00,,02,07,2007
2740,2007-07-03 00:00:00,526.86,03,07,2007
2741,2007-07-04 00:00:00,525.56,04,07,2007
2742,2007-07-05 00:00:00,523.86,05,07,2007
2743,2007-07-06 00:00:00,523.97,06,07,2007
2744,2007-07-07 00:00:00,,07,07,2007
2745,2007-07-08 00:00:00,,08,07,2007
2746,2007-07-09 00:00:00,522.16,09,07,2007
2747,2007-07-10 00:00:00,519.55,10,07,2007
2748,2007-07-11 00:00:00,520.01,11,07,2007
2749,2007-07-12 00:00:00,518.84,12,07,2007
2750,2007-07-13 00:00:00,516.81,13,07,2007
2751,2007-07-14 00:00:00,,14,07,2007
2752,2007-07-15 00:00:00,,15,07,2007
2753,2007-07-16 00:00:00,,16,07,2007
2754,2007-07-17 00:00:00,514.66,17,07,2007
2755,2007-07-18 00:00:00,515.33,18,07,2007
2756,2007-07-19 00:00:00,516.01,19,07,2007
2757,2007-07-20 00:00:00,513.0,20,07,2007
2758,2007-07-21 00:00:00,,21,07,2007
2759,2007-07-22 00:00:00,,22,07,2007
2760,2007-07-23 00:00:00,515.72,23,07,2007
2761,2007-07-24 00:00:00,514.82,24,07,2007
2762,2007-07-25 00:00:00,517.37,25,07,2007
2763,2007-07-26 00:00:00,520.55,26,07,2007
2764,2007-07-27 00:00:00,523.64,27,07,2007
2765,2007-07-28 00:00:00,,28,07,2007
2766,2007-07-29 00:00:00,,29,07,2007
2767,2007-07-30 00:00:00,524.29,30,07,2007
2768,2007-07-31 00:00:00,523.08,31,07,2007
2769,2007-08-01 00:00:00,521.17,01,08,2007
2770,2007-08-02 00:00:00,524.12,02,08,2007
2771,2007-08-03 00:00:00,521.1,03,08,2007
2772,2007-08-04 00:00:00,,04,08,2007
2773,2007-08-05 00:00:00,,05,08,2007
2774,2007-08-06 00:00:00,521.3,06,08,2007
2775,2007-08-07 00:00:00,523.2,07,08,2007
2776,2007-08-08 00:00:00,521.62,08,08,2007
2777,2007-08-09 00:00:00,518.19,09,08,2007
2778,2007-08-10 00:00:00,520.35,10,08,2007
2779,2007-08-11 00:00:00,,11,08,2007
2780,2007-08-12 00:00:00,,12,08,2007
2781,2007-08-13 00:00:00,522.78,13,08,2007
2782,2007-08-14 00:00:00,519.31,14,08,2007
2783,2007-08-15 00:00:00,,15,08,2007
2784,2007-08-16 00:00:00,521.22,16,08,2007
2785,2007-08-17 00:00:00,528.37,17,08,2007
2786,2007-08-18 00:00:00,,18,08,2007
2787,2007-08-19 00:00:00,,19,08,2007
2788,2007-08-20 00:00:00,524.52,20,08,2007
2789,2007-08-21 00:00:00,522.67,21,08,2007
2790,2007-08-22 00:00:00,523.19,22,08,2007
2791,2007-08-23 00:00:00,522.16,23,08,2007
2792,2007-08-24 00:00:00,524.1,24,08,2007
2793,2007-08-25 00:00:00,,25,08,2007
2794,2007-08-26 00:00:00,,26,08,2007
2795,2007-08-27 00:00:00,524.53,27,08,2007
2796,2007-08-28 00:00:00,524.29,28,08,2007
2797,2007-08-29 00:00:00,525.95,29,08,2007
2798,2007-08-30 00:00:00,525.53,30,08,2007
2799,2007-08-31 00:00:00,524.63,31,08,2007
2800,2007-09-01 00:00:00,,01,09,2007
2801,2007-09-02 00:00:00,,02,09,2007
2802,2007-09-03 00:00:00,523.25,03,09,2007
2803,2007-09-04 00:00:00,524.05,04,09,2007
2804,2007-09-05 00:00:00,523.36,05,09,2007
2805,2007-09-06 00:00:00,523.85,06,09,2007
2806,2007-09-07 00:00:00,521.41,07,09,2007
2807,2007-09-08 00:00:00,,08,09,2007
2808,2007-09-09 00:00:00,,09,09,2007
2809,2007-09-10 00:00:00,520.76,10,09,2007
2810,2007-09-11 00:00:00,517.68,11,09,2007
2811,2007-09-12 00:00:00,516.12,12,09,2007
2812,2007-09-13 00:00:00,515.26,13,09,2007
2813,2007-09-14 00:00:00,513.75,14,09,2007
2814,2007-09-15 00:00:00,,15,09,2007
2815,2007-09-16 00:00:00,,16,09,2007
2816,2007-09-17 00:00:00,,17,09,2007
2817,2007-09-18 00:00:00,,18,09,2007
2818,2007-09-19 00:00:00,,19,09,2007
2819,2007-09-20 00:00:00,514.29,20,09,2007
2820,2007-09-21 00:00:00,510.55,21,09,2007
2821,2007-09-22 00:00:00,,22,09,2007
2822,2007-09-23 00:00:00,,23,09,2007
2823,2007-09-24 00:00:00,512.07,24,09,2007
2824,2007-09-25 00:00:00,513.05,25,09,2007
2825,2007-09-26 00:00:00,513.93,26,09,2007
2826,2007-09-27 00:00:00,512.39,27,09,2007
2827,2007-09-28 00:00:00,511.72,28,09,2007
2828,2007-09-29 00:00:00,,29,09,2007
2829,2007-09-30 00:00:00,,30,09,2007
2830,2007-10-01 00:00:00,511.23,01,10,2007
2831,2007-10-02 00:00:00,509.23,02,10,2007
2832,2007-10-03 00:00:00,507.63,03,10,2007
2833,2007-10-04 00:00:00,505.61,04,10,2007
2834,2007-10-05 00:00:00,506.94,05,10,2007
2835,2007-10-06 00:00:00,,06,10,2007
2836,2007-10-07 00:00:00,,07,10,2007
2837,2007-10-08 00:00:00,503.89,08,10,2007
2838,2007-10-09 00:00:00,500.84,09,10,2007
2839,2007-10-10 00:00:00,498.46,10,10,2007
2840,2007-10-11 00:00:00,496.69,11,10,2007
2841,2007-10-12 00:00:00,493.74,12,10,2007
2842,2007-10-13 00:00:00,,13,10,2007
2843,2007-10-14 00:00:00,,14,10,2007
2844,2007-10-15 00:00:00,,15,10,2007
2845,2007-10-16 00:00:00,496.21,16,10,2007
2846,2007-10-17 00:00:00,499.56,17,10,2007
2847,2007-10-18 00:00:00,500.56,18,10,2007
2848,2007-10-19 00:00:00,503.2,19,10,2007
2849,2007-10-20 00:00:00,,20,10,2007
2850,2007-10-21 00:00:00,,21,10,2007
2851,2007-10-22 00:00:00,500.79,22,10,2007
2852,2007-10-23 00:00:00,504.25,23,10,2007
2853,2007-10-24 00:00:00,503.4,24,10,2007
2854,2007-10-25 00:00:00,504.65,25,10,2007
2855,2007-10-26 00:00:00,500.6,26,10,2007
2856,2007-10-27 00:00:00,,27,10,2007
2857,2007-10-28 00:00:00,,28,10,2007
2858,2007-10-29 00:00:00,494.77,29,10,2007
2859,2007-10-30 00:00:00,494.85,30,10,2007
2860,2007-10-31 00:00:00,494.64,31,10,2007
2861,2007-11-01 00:00:00,,01,11,2007
2862,2007-11-02 00:00:00,493.14,02,11,2007
2863,2007-11-03 00:00:00,,03,11,2007
2864,2007-11-04 00:00:00,,04,11,2007
2865,2007-11-05 00:00:00,496.27,05,11,2007
2866,2007-11-06 00:00:00,501.23,06,11,2007
2867,2007-11-07 00:00:00,500.9,07,11,2007
2868,2007-11-08 00:00:00,503.7,08,11,2007
2869,2007-11-09 00:00:00,504.17,09,11,2007
2870,2007-11-10 00:00:00,,10,11,2007
2871,2007-11-11 00:00:00,,11,11,2007
2872,2007-11-12 00:00:00,505.8,12,11,2007
2873,2007-11-13 00:00:00,507.39,13,11,2007
2874,2007-11-14 00:00:00,506.8,14,11,2007
2875,2007-11-15 00:00:00,504.96,15,11,2007
2876,2007-11-16 00:00:00,506.75,16,11,2007
2877,2007-11-17 00:00:00,,17,11,2007
2878,2007-11-18 00:00:00,,18,11,2007
2879,2007-11-19 00:00:00,507.6,19,11,2007
2880,2007-11-20 00:00:00,507.89,20,11,2007
2881,2007-11-21 00:00:00,509.01,21,11,2007
2882,2007-11-22 00:00:00,512.16,22,11,2007
2883,2007-11-23 00:00:00,513.11,23,11,2007
2884,2007-11-24 00:00:00,,24,11,2007
2885,2007-11-25 00:00:00,,25,11,2007
2886,2007-11-26 00:00:00,513.88,26,11,2007
2887,2007-11-27 00:00:00,514.26,27,11,2007
2888,2007-11-28 00:00:00,516.25,28,11,2007
2889,2007-11-29 00:00:00,512.24,29,11,2007
2890,2007-11-30 00:00:00,508.47,30,11,2007
2891,2007-12-01 00:00:00,,01,12,2007
2892,2007-12-02 00:00:00,,02,12,2007
2893,2007-12-03 00:00:00,505.38,03,12,2007
2894,2007-12-04 00:00:00,506.79,04,12,2007
2895,2007-12-05 00:00:00,506.23,05,12,2007
2896,2007-12-06 00:00:00,502.55,06,12,2007
2897,2007-12-07 00:00:00,496.99,07,12,2007
2898,2007-12-08 00:00:00,,08,12,2007
2899,2007-12-09 00:00:00,,09,12,2007
2900,2007-12-10 00:00:00,496.59,10,12,2007
2901,2007-12-11 00:00:00,497.63,11,12,2007
2902,2007-12-12 00:00:00,497.5,12,12,2007
2903,2007-12-13 00:00:00,498.19,13,12,2007
2904,2007-12-14 00:00:00,499.66,14,12,2007
2905,2007-12-15 00:00:00,,15,12,2007
2906,2007-12-16 00:00:00,,16,12,2007
2907,2007-12-17 00:00:00,498.03,17,12,2007
2908,2007-12-18 00:00:00,500.9,18,12,2007
2909,2007-12-19 00:00:00,499.02,19,12,2007
2910,2007-12-20 00:00:00,499.79,20,12,2007
2911,2007-12-21 00:00:00,497.85,21,12,2007
2912,2007-12-22 00:00:00,,22,12,2007
2913,2007-12-23 00:00:00,,23,12,2007
2914,2007-12-24 00:00:00,496.25,24,12,2007
2915,2007-12-25 00:00:00,,25,12,2007
2916,2007-12-26 00:00:00,495.6,26,12,2007
2917,2007-12-27 00:00:00,495.49,27,12,2007
2918,2007-12-28 00:00:00,495.82,28,12,2007
2919,2007-12-29 00:00:00,,29,12,2007
2920,2007-12-30 00:00:00,,30,12,2007
2921,2007-12-31 00:00:00,,31,12,2007
