,Periodo,1.Dólar observado,dia,mes,year
365,2011-01-01 00:00:00,,01,01,2011
366,2011-01-02 00:00:00,,02,01,2011
367,2011-01-03 00:00:00,468.01,03,01,2011
368,2011-01-04 00:00:00,466.05,04,01,2011
369,2011-01-05 00:00:00,486.82,05,01,2011
370,2011-01-06 00:00:00,493.65,06,01,2011
371,2011-01-07 00:00:00,494.74,07,01,2011
372,2011-01-08 00:00:00,,08,01,2011
373,2011-01-09 00:00:00,,09,01,2011
374,2011-01-10 00:00:00,496.96,10,01,2011
375,2011-01-11 00:00:00,499.03,11,01,2011
376,2011-01-12 00:00:00,496.03,12,01,2011
377,2011-01-13 00:00:00,493.27,13,01,2011
378,2011-01-14 00:00:00,488.82,14,01,2011
379,2011-01-15 00:00:00,,15,01,2011
380,2011-01-16 00:00:00,,16,01,2011
381,2011-01-17 00:00:00,492.16,17,01,2011
382,2011-01-18 00:00:00,490.32,18,01,2011
383,2011-01-19 00:00:00,490.67,19,01,2011
384,2011-01-20 00:00:00,490.89,20,01,2011
385,2011-01-21 00:00:00,494.1,21,01,2011
386,2011-01-22 00:00:00,,22,01,2011
387,2011-01-23 00:00:00,,23,01,2011
388,2011-01-24 00:00:00,492.49,24,01,2011
389,2011-01-25 00:00:00,493.14,25,01,2011
390,2011-01-26 00:00:00,492.51,26,01,2011
391,2011-01-27 00:00:00,490.24,27,01,2011
392,2011-01-28 00:00:00,485.04,28,01,2011
393,2011-01-29 00:00:00,,29,01,2011
394,2011-01-30 00:00:00,,30,01,2011
395,2011-01-31 00:00:00,483.32,31,01,2011
396,2011-02-01 00:00:00,484.14,01,02,2011
397,2011-02-02 00:00:00,480.59,02,02,2011
398,2011-02-03 00:00:00,480.5,03,02,2011
399,2011-02-04 00:00:00,481.56,04,02,2011
400,2011-02-05 00:00:00,,05,02,2011
401,2011-02-06 00:00:00,,06,02,2011
402,2011-02-07 00:00:00,478.36,07,02,2011
403,2011-02-08 00:00:00,478.18,08,02,2011
404,2011-02-09 00:00:00,479.73,09,02,2011
405,2011-02-10 00:00:00,476.87,10,02,2011
406,2011-02-11 00:00:00,475.93,11,02,2011
407,2011-02-12 00:00:00,,12,02,2011
408,2011-02-13 00:00:00,,13,02,2011
409,2011-02-14 00:00:00,473.42,14,02,2011
410,2011-02-15 00:00:00,469.99,15,02,2011
411,2011-02-16 00:00:00,470.59,16,02,2011
412,2011-02-17 00:00:00,474.13,17,02,2011
413,2011-02-18 00:00:00,473.16,18,02,2011
414,2011-02-19 00:00:00,,19,02,2011
415,2011-02-20 00:00:00,,20,02,2011
416,2011-02-21 00:00:00,469.14,21,02,2011
417,2011-02-22 00:00:00,468.94,22,02,2011
418,2011-02-23 00:00:00,470.76,23,02,2011
419,2011-02-24 00:00:00,474.01,24,02,2011
420,2011-02-25 00:00:00,478.19,25,02,2011
421,2011-02-26 00:00:00,,26,02,2011
422,2011-02-27 00:00:00,,27,02,2011
423,2011-02-28 00:00:00,475.63,28,02,2011
424,2011-03-01 00:00:00,475.21,01,03,2011
425,2011-03-02 00:00:00,476.4,02,03,2011
426,2011-03-03 00:00:00,478.04,03,03,2011
427,2011-03-04 00:00:00,474.04,04,03,2011
428,2011-03-05 00:00:00,,05,03,2011
429,2011-03-06 00:00:00,,06,03,2011
430,2011-03-07 00:00:00,472.74,07,03,2011
431,2011-03-08 00:00:00,473.28,08,03,2011
432,2011-03-09 00:00:00,475.63,09,03,2011
433,2011-03-10 00:00:00,475.62,10,03,2011
